lat,long
43.00536,-78.80160
43.00541,-78.80168
43.00537,-78.80168
43.00535,-78.80165
43.00537,-78.80162
43.00542,-78.80170
43.00538,-78.80171
43.00537,-78.80169
43.00537,-78.80165
43.00540,-78.80169
43.00536,-78.80168
43.00539,-78.80169
43.00537,-78.80162
43.00536,-78.80170
43.00538,-78.80170
43.00540,-78.80171
43.00539,-78.80160
43.00538,-78.80170
43.00536,-78.80168
43.00537,-78.80170
43.00539,-78.80156
43.00540,-78.80171
43.00538,-78.80168
43.00539,-78.80169
43.00534,-78.80157
43.00542,-78.80171
43.00539,-78.80171
43.00541,-78.80170
43.00529,-78.80157
43.00541,-78.80169
43.00537,-78.80169
43.00540,-78.80168
43.00524,-78.80156
43.00539,-78.80169
43.00539,-78.80170
43.00542,-78.80167
43.00517,-78.80155
43.00540,-78.80171
43.00540,-78.80167
43.00512,-78.80152
43.00538,-78.80170
43.00538,-78.80166
43.00505,-78.80149
43.00536,-78.80169
43.00540,-78.80168
43.00498,-78.80147
43.00535,-78.80166
43.00538,-78.80169
43.00491,-78.80144
43.00537,-78.80168
43.00537,-78.80166
43.00483,-78.80142
43.00539,-78.80169
43.00535,-78.80167
43.00473,-78.80141
43.00541,-78.80169
43.00535,-78.80169
43.00460,-78.80139
43.00543,-78.80167
43.00537,-78.80167
43.00449,-78.80138
43.00543,-78.80170
43.00538,-78.80166
43.00443,-78.80138
43.00540,-78.80171
43.00540,-78.80170
43.00438,-78.80138
43.00539,-78.80173
43.00535,-78.80167
43.00434,-78.80136
43.00539,-78.80170
43.00534,-78.80164
43.00432,-78.80132
43.00541,-78.80169
43.00536,-78.80165
43.00430,-78.80127
43.00540,-78.80172
43.00537,-78.80168
43.00431,-78.80117
43.00538,-78.80172
43.00536,-78.80170
43.00430,-78.80103
43.00540,-78.80172
43.00537,-78.80169
43.00428,-78.80091
43.00541,-78.80170
43.00537,-78.80165
43.00427,-78.80078
43.00540,-78.80171
43.00539,-78.80167
43.00426,-78.80062
43.00538,-78.80168
43.00538,-78.80169
43.00425,-78.80045
43.00538,-78.80170
43.00540,-78.80171
43.00425,-78.80027
43.00537,-78.80168
43.00538,-78.80171
43.00425,-78.80008
43.00539,-78.80169
43.00539,-78.80167
43.00425,-78.79991
43.00540,-78.80171
43.00537,-78.80166
43.00425,-78.79972
43.00542,-78.80173
43.00538,-78.80169
43.00425,-78.79953
43.00540,-78.80172
43.00537,-78.80171
43.00426,-78.79934
43.00539,-78.80170
43.00537,-78.80174
43.00426,-78.79918
43.00539,-78.80172
43.00538,-78.80172
43.00426,-78.79904
43.00540,-78.80170
43.00540,-78.80171
43.00426,-78.79893
43.00537,-78.80169
43.00540,-78.80173
43.00426,-78.79887
43.00537,-78.80166
43.00539,-78.80175
43.00425,-78.79882
43.00536,-78.80164
43.00537,-78.80176
43.00424,-78.79880
43.00536,-78.80167
43.00535,-78.80176
43.00403,-78.79882
43.00535,-78.80169
43.00535,-78.80173
43.00394,-78.79881
43.00537,-78.80170
43.00536,-78.80175
43.00382,-78.79880
43.00540,-78.80170
43.00533,-78.80176
43.00369,-78.79880
43.00537,-78.80170
43.00532,-78.80177
43.00352,-78.79880
43.00538,-78.80167
43.00534,-78.80176
43.00335,-78.79880
43.00536,-78.80168
43.00535,-78.80176
43.00317,-78.79879
43.00535,-78.80166
43.00532,-78.80175
43.00300,-78.79879
43.00537,-78.80167
43.00533,-78.80179
43.00281,-78.79879
43.00538,-78.80168
43.00535,-78.80180
43.00263,-78.79879
43.00540,-78.80169
43.00534,-78.80176
43.00244,-78.79880
43.00538,-78.80170
43.00537,-78.80176
43.00226,-78.79880
43.00538,-78.80167
43.00534,-78.80175
43.00209,-78.79880
43.00537,-78.80166
43.00536,-78.80174
43.00191,-78.79880
43.00535,-78.80167
43.00538,-78.80172
43.00173,-78.79880
43.00535,-78.80170
43.00539,-78.80173
43.00155,-78.79879
43.00537,-78.80169
43.00539,-78.80169
43.00138,-78.79880
43.00535,-78.80166
43.00537,-78.80169
43.00121,-78.79879
43.00537,-78.80168
43.00538,-78.80174
43.00106,-78.79879
43.00535,-78.80170
43.00538,-78.80176
43.00090,-78.79880
43.00537,-78.80170
43.00540,-78.80175
43.00077,-78.79880
43.00539,-78.80167
43.00539,-78.80177
43.00063,-78.79881
43.00537,-78.80167
43.00538,-78.80179
43.00051,-78.79880
43.00536,-78.80170
43.00536,-78.80181
43.00041,-78.79878
43.00536,-78.80167
43.00538,-78.80185
43.00033,-78.79878
43.00537,-78.80169
43.00540,-78.80186
43.00026,-78.79878
43.00535,-78.80168
43.00538,-78.80184
43.00021,-78.79878
43.00538,-78.80167
43.00541,-78.80184
43.00019,-78.79878
43.00540,-78.80168
43.00540,-78.80183
43.00014,-78.79878
43.00538,-78.80166
43.00538,-78.80182
43.00006,-78.79877
43.00537,-78.80169
43.00542,-78.80181
42.99998,-78.79877
43.00538,-78.80167
43.00538,-78.80179
42.99989,-78.79877
43.00537,-78.80167
43.00538,-78.80179
42.99980,-78.79877
43.00539,-78.80171
43.00534,-78.80179
42.99971,-78.79877
43.00538,-78.80169
43.00536,-78.80181
42.99967,-78.79872
43.00536,-78.80167
43.00538,-78.80181
42.99956,-78.79872
43.00537,-78.80169
43.00540,-78.80180
42.99943,-78.79873
43.00536,-78.80166
43.00541,-78.80181
42.99927,-78.79873
43.00537,-78.80169
43.00541,-78.80184
42.99913,-78.79874
43.00537,-78.80166
43.00545,-78.80186
42.99898,-78.79875
43.00539,-78.80166
43.00547,-78.80187
42.99882,-78.79876
43.00541,-78.80165
43.00547,-78.80187
42.99866,-78.79878
43.00540,-78.80167
43.00547,-78.80187
42.99850,-78.79881
43.00539,-78.80169
43.00554,-78.80190
42.99835,-78.79885
43.00541,-78.80169
43.00547,-78.80194
42.99819,-78.79890
43.00539,-78.80168
43.00545,-78.80192
42.99804,-78.79896
43.00537,-78.80167
43.00545,-78.80190
42.99790,-78.79905
43.00536,-78.80167
43.00546,-78.80188
42.99775,-78.79914
43.00538,-78.80168
43.00545,-78.80184
42.99759,-78.79925
43.00537,-78.80166
43.00543,-78.80182
42.99741,-78.79936
43.00538,-78.80168
43.00542,-78.80179
42.99725,-78.79950
43.00536,-78.80166
43.00544,-78.80175
42.99710,-78.79965
43.00537,-78.80168
43.00546,-78.80170
42.99696,-78.79980
