time,latitude,longitude,altitude (ft)
2020-10-08 17:16:28,43.005358579,-78.801599915,584.7
2020-10-08 17:16:33,43.005371440,-78.801620884,584.6
2020-10-08 17:16:43,43.005374365,-78.801645295,584.6
2020-10-08 17:17:12,43.005372028,-78.801616651,584.2
2020-10-08 17:17:25,43.005387203,-78.801596434,584.5
2020-10-08 17:17:32,43.005392335,-78.801562469,583.9
2020-10-08 17:17:39,43.005340806,-78.801572525,586.4
2020-10-08 17:17:40,43.005291233,-78.801569968,586.6
2020-10-08 17:17:41,43.005235794,-78.801557839,587.9
2020-10-08 17:17:42,43.005174050,-78.801545750,588.2
2020-10-08 17:17:43,43.005115018,-78.801520298,589.9
2020-10-08 17:17:44,43.005054463,-78.801486900,585.7
2020-10-08 17:17:45,43.004982179,-78.801465748,585.7
2020-10-08 17:17:46,43.004914050,-78.801442459,592.6
2020-10-08 17:17:47,43.004834541,-78.801424058,593.9
2020-10-08 17:17:48,43.004726910,-78.801406608,589.9
2020-10-08 17:17:49,43.004599048,-78.801388756,584.3
2020-10-08 17:17:50,43.004494715,-78.801383178,581.8
2020-10-08 17:17:51,43.004425168,-78.801379016,581.6
2020-10-08 17:17:52,43.004384076,-78.801378598,582.4
2020-10-08 17:17:54,43.004343223,-78.801360357,583.5
2020-10-08 17:17:55,43.004318458,-78.801320026,584.7
2020-10-08 17:17:56,43.004295602,-78.801267210,586.8
2020-10-08 17:17:57,43.004308770,-78.801167173,587.5
2020-10-08 17:17:58,43.004298777,-78.801032424,589.4
2020-10-08 17:17:59,43.004284349,-78.800911621,590.3
2020-10-08 17:18:00,43.004274273,-78.800777134,594.7
2020-10-08 17:18:01,43.004258063,-78.800624829,592.9
2020-10-08 17:18:02,43.004247395,-78.800452245,591.8
2020-10-08 17:18:03,43.004246162,-78.800265770,592.9
2020-10-08 17:18:04,43.004254024,-78.800082766,591.1
2020-10-08 17:18:05,43.004254284,-78.799906706,596.0
2020-10-08 17:18:06,43.004254559,-78.799719743,585.4
2020-10-08 17:18:07,43.004254838,-78.799529185,582.6
2020-10-08 17:18:08,43.004263073,-78.799340725,585.9
2020-10-08 17:18:09,43.004263103,-78.799175244,576.9
2020-10-08 17:18:10,43.004263441,-78.799036067,569.6
2020-10-08 17:18:11,43.004263548,-78.798933269,573.3
2020-10-08 17:18:12,43.004263076,-78.798869445,570.0
2020-10-08 17:18:14,43.004250865,-78.798823916,575.9
2020-10-08 17:18:16,43.004242497,-78.798796759,581.8
2020-10-08 17:18:17,43.004031115,-78.798820672,581.9
2020-10-08 17:18:18,43.003936806,-78.798810514,581.1
2020-10-08 17:18:19,43.003821947,-78.798796950,580.4
2020-10-08 17:18:20,43.003685685,-78.798797371,588.9
2020-10-08 17:18:21,43.003521315,-78.798797078,583.3
2020-10-08 17:18:22,43.003350413,-78.798795151,580.8
2020-10-08 17:18:23,43.003174861,-78.798792682,580.1
2020-10-08 17:18:24,43.002996641,-78.798791031,576.8
2020-10-08 17:18:25,43.002812685,-78.798789863,579.7
2020-10-08 17:18:26,43.002630419,-78.798786866,575.5
2020-10-08 17:18:27,43.002442584,-78.798795915,585.1
2020-10-08 17:18:28,43.002260723,-78.798795287,576.7
2020-10-08 17:18:29,43.002085756,-78.798795303,576.0
2020-10-08 17:18:30,43.001914745,-78.798797635,587.0
2020-10-08 17:18:31,43.001734851,-78.798797320,577.4
2020-10-08 17:18:32,43.001554216,-78.798792155,576.2
2020-10-08 17:18:33,43.001382156,-78.798796536,586.5
2020-10-08 17:18:34,43.001211340,-78.798788878,573.3
2020-10-08 17:18:35,43.001055871,-78.798791197,568.4
2020-10-08 17:18:36,43.000902599,-78.798797614,575.3
2020-10-08 17:18:37,43.000765775,-78.798802928,571.7
2020-10-08 17:18:38,43.000633857,-78.798806705,573.6
2020-10-08 17:18:39,43.000513946,-78.798804513,568.9
2020-10-08 17:18:40,43.000411245,-78.798783808,565.2
2020-10-08 17:18:41,43.000326821,-78.798780723,568.0
2020-10-08 17:18:42,43.000259135,-78.798779313,569.4
2020-10-08 17:18:43,43.000209196,-78.798777978,574.3
2020-10-08 17:18:44,43.000188878,-78.798777455,575.8
2020-10-08 17:18:45,43.000138455,-78.798776596,578.1
2020-10-08 17:18:53,43.000059239,-78.798774065,584.2
2020-10-08 17:18:54,42.999981515,-78.798772284,576.2
2020-10-08 17:18:55,42.999894525,-78.798770913,580.0
2020-10-08 17:18:56,42.999801599,-78.798770855,580.6
2020-10-08 17:18:57,42.999706120,-78.798773232,583.8
2020-10-08 17:18:58,42.999665139,-78.798716796,587.6
2020-10-08 17:18:59,42.999555379,-78.798723493,596.0
2020-10-08 17:19:00,42.999425961,-78.798731390,592.1
2020-10-08 17:19:01,42.999270741,-78.798733159,604.3
2020-10-08 17:19:02,42.999131897,-78.798739430,599.8
2020-10-08 17:19:03,42.998976867,-78.798747950,596.5
2020-10-08 17:19:04,42.998817867,-78.798762891,605.0
2020-10-08 17:19:05,42.998658896,-78.798782606,606.1
2020-10-08 17:19:06,42.998498130,-78.798806868,593.9
2020-10-08 17:19:07,42.998346913,-78.798848860,602.2
2020-10-08 17:19:08,42.998193165,-78.798899240,604.6
2020-10-08 17:19:09,42.998042920,-78.798963271,610.4
2020-10-08 17:19:10,42.997897107,-78.799045265,611.7
2020-10-08 17:19:11,42.997748076,-78.799138488,604.0
2020-10-08 17:19:12,42.997585500,-78.799253060,606.5
2020-10-08 17:19:13,42.997411454,-78.799363160,613.6
2020-10-08 17:19:14,42.997254057,-78.799502358,607.9
2020-10-08 17:19:15,42.997102043,-78.799651248,602.6
2020-10-08 17:19:16,42.996961320,-78.799803065,600.2
2020-10-08 17:19:17,42.996832773,-78.799948387,598.5
2020-10-08 17:19:18,42.996691951,-78.800108174,595.4
2020-10-08 17:19:19,42.996555506,-78.800263013,593.9
2020-10-08 17:19:20,42.996412415,-78.800425761,593.9
2020-10-08 17:19:21,42.996235909,-78.800610420,588.0
2020-10-08 17:19:22,42.996093200,-78.800775909,601.6
2020-10-08 17:19:23,42.995951835,-78.800937008,598.5
2020-10-08 17:19:24,42.995813746,-78.801093295,598.8
2020-10-08 17:19:25,42.995669304,-78.801255073,594.4
2020-10-08 17:19:26,42.995516093,-78.801378999,595.9
2020-10-08 17:19:27,42.995363992,-78.801502450,592.0
2020-10-08 17:19:28,42.995198681,-78.801616762,584.2
2020-10-08 17:19:29,42.995032690,-78.801723276,587.1
2020-10-08 17:19:30,42.994862921,-78.801823284,588.5
2020-10-08 17:19:31,42.994685005,-78.801928092,591.6
2020-10-08 17:19:32,42.994489340,-78.802043356,590.0
2020-10-08 17:19:33,42.994293236,-78.802158878,590.4
2020-10-08 17:19:34,42.994081704,-78.802283150,591.3
2020-10-08 17:19:35,42.993870699,-78.802406172,594.4
2020-10-08 17:19:36,42.993673380,-78.802521212,596.8
2020-10-08 17:19:37,42.993483886,-78.802632801,598.7
2020-10-08 17:19:38,42.993297288,-78.802741272,601.3
2020-10-08 17:19:39,42.993103761,-78.802854452,601.4
2020-10-08 17:19:40,42.992907911,-78.802970917,611.4
2020-10-08 17:19:41,42.992721767,-78.803081610,605.7
2020-10-08 17:19:42,42.992541123,-78.803189032,586.8
2020-10-08 17:19:43,42.992349327,-78.803300738,589.5
2020-10-08 17:19:44,42.992151265,-78.803416384,579.8
2020-10-08 17:19:45,42.991987453,-78.803513414,573.0
2020-10-08 17:19:46,42.991814387,-78.803615927,590.3
2020-10-08 17:19:47,42.991676257,-78.803695732,584.5
2020-10-08 17:19:48,42.991553323,-78.803765059,585.4
2020-10-08 17:19:49,42.991443882,-78.803827615,582.8
2020-10-08 17:19:50,42.991288574,-78.803926562,576.1
2020-10-08 17:19:51,42.991199630,-78.803982143,583.9
2020-10-08 17:19:52,42.991140710,-78.804010590,587.4
2020-10-08 17:19:53,42.991107728,-78.804037207,588.9
2020-10-08 17:19:54,42.991074560,-78.804064490,589.1
2020-10-08 17:19:55,42.991035291,-78.804062783,590.0
2020-10-08 17:19:57,42.991012742,-78.804076369,591.3
2020-10-08 17:20:12,42.991023181,-78.804069974,593.8
2020-10-08 17:21:01,42.991047257,-78.804055872,594.4
2020-10-08 17:21:15,42.991029994,-78.804065842,594.1
2020-10-08 17:21:16,42.990996300,-78.804086440,593.9
2020-10-08 17:21:17,42.990956182,-78.804111014,594.2
2020-10-08 17:21:18,42.990888729,-78.804152332,593.9
2020-10-08 17:21:19,42.990829899,-78.804188368,594.7
2020-10-08 17:21:20,42.990755262,-78.804234086,595.6
2020-10-08 17:21:21,42.990676868,-78.804282104,596.3
2020-10-08 17:21:22,42.990585279,-78.804335794,594.4
2020-10-08 17:21:23,42.990483053,-78.804396669,593.3
2020-10-08 17:21:24,42.990382970,-78.804456040,594.9
2020-10-08 17:21:25,42.990292991,-78.804508759,595.3
2020-10-08 17:21:26,42.990167286,-78.804576902,597.2
2020-10-08 17:21:27,42.990030666,-78.804650751,596.3
2020-10-08 17:21:28,42.989900219,-78.804720697,596.6
2020-10-08 17:21:29,42.989772165,-78.804809956,596.4
2020-10-08 17:21:30,42.989653331,-78.804930535,596.5
2020-10-08 17:21:31,42.989536715,-78.805086914,595.6
2020-10-08 17:21:32,42.989439437,-78.805242449,596.7
2020-10-08 17:21:33,42.989392559,-78.805463287,595.4
2020-10-08 17:21:34,42.989285143,-78.805640163,596.1
2020-10-08 17:21:35,42.989179395,-78.805829373,596.8
2020-10-08 17:21:36,42.989083478,-78.806023658,595.6
2020-10-08 17:21:37,42.988942192,-78.806173767,594.0
2020-10-08 17:21:38,42.988840919,-78.806364138,595.1
2020-10-08 17:21:39,42.988738421,-78.806547598,594.8
2020-10-08 17:21:40,42.988637884,-78.806735875,594.6
2020-10-08 17:21:41,42.988537051,-78.806927496,593.9
2020-10-08 17:21:42,42.988455468,-78.807118128,593.4
2020-10-08 17:21:43,42.988366940,-78.807283946,592.7
2020-10-08 17:21:44,42.988282377,-78.807434260,591.4
2020-10-08 17:21:45,42.988185782,-78.807551226,590.4
2020-10-08 17:21:46,42.988082626,-78.807634459,589.0
2020-10-08 17:21:47,42.987967988,-78.807689333,589.7
2020-10-08 17:21:48,42.987844228,-78.807703042,589.4
2020-10-08 17:21:49,42.987720715,-78.807705831,589.1
2020-10-08 17:21:50,42.987592718,-78.807691708,590.4
2020-10-08 17:21:51,42.987456694,-78.807686965,591.0
2020-10-08 17:21:52,42.987307153,-78.807691401,591.4
2020-10-08 17:21:53,42.987154221,-78.807696932,591.1
2020-10-08 17:21:54,42.986997189,-78.807703517,593.0
2020-10-08 17:21:55,42.986828685,-78.807711244,593.6
2020-10-08 17:21:56,42.986671116,-78.807714546,594.2
2020-10-08 17:21:57,42.986515490,-78.807718346,594.4
2020-10-08 17:21:58,42.986350202,-78.807722587,594.7
2020-10-08 17:21:59,42.986175568,-78.807727560,594.0
2020-10-08 17:22:00,42.986009480,-78.807732232,594.9
2020-10-08 17:22:01,42.985841125,-78.807737887,596.0
2020-10-08 17:22:02,42.985669258,-78.807740027,596.6
2020-10-08 17:22:03,42.985501241,-78.807743107,597.4
2020-10-08 17:22:04,42.985323525,-78.807748266,596.6
2020-10-08 17:22:05,42.985143282,-78.807752484,595.6
2020-10-08 17:22:06,42.984959845,-78.807757872,597.1
2020-10-08 17:22:07,42.984780799,-78.807760012,595.5
2020-10-08 17:22:08,42.984607795,-78.807763101,595.5
2020-10-08 17:22:09,42.984426006,-78.807766733,595.7
2020-10-08 17:22:10,42.984249348,-78.807768683,594.2
2020-10-08 17:22:11,42.984068508,-78.807771542,594.5
2020-10-08 17:22:12,42.983887437,-78.807775593,594.9
2020-10-08 17:22:13,42.983702464,-78.807779868,594.9
2020-10-08 17:22:14,42.983522980,-78.807782412,596.5
2020-10-08 17:22:15,42.983351934,-78.807786053,596.8
2020-10-08 17:22:16,42.983177762,-78.807789764,599.1
2020-10-08 17:22:17,42.982995676,-78.807793886,599.8
2020-10-08 17:22:18,42.982815543,-78.807798349,601.5
2020-10-08 17:22:19,42.982642938,-78.807809230,601.7
2020-10-08 17:22:20,42.982479477,-78.807813558,603.1
2020-10-08 17:22:21,42.982315404,-78.807819802,603.0
2020-10-08 17:22:22,42.982154973,-78.807823815,602.6
2020-10-08 17:22:23,42.981984933,-78.807828822,601.8
2020-10-08 17:22:24,42.981824682,-78.807833683,600.8
2020-10-08 17:22:25,42.981676463,-78.807836154,599.7
2020-10-08 17:22:26,42.981527219,-78.807841160,598.6
2020-10-08 17:22:27,42.981382053,-78.807848506,597.7
2020-10-08 17:22:28,42.981230654,-78.807853182,597.5
2020-10-08 17:22:29,42.981076915,-78.807857679,596.9
2020-10-08 17:22:30,42.980918927,-78.807861284,596.9
2020-10-08 17:22:31,42.980761558,-78.807863264,596.7
2020-10-08 17:22:32,42.980600940,-78.807866019,597.4
2020-10-08 17:22:33,42.980446424,-78.807869744,597.2
