time,latitude,longitude,altitude (ft)
2020-10-23 19:04:27,43.004911869,-78.801567637,584.3
2020-10-23 19:04:29,43.004889352,-78.801568358,584.1
2020-10-23 19:04:31,43.004861504,-78.801559663,586.0
2020-10-23 19:04:33,43.004837483,-78.801552690,584.8
2020-10-23 19:04:35,43.004815580,-78.801552070,585.5
2020-10-23 19:04:37,43.004797097,-78.801551703,584.3
2020-10-23 19:04:39,43.004777191,-78.801549186,582.9
2020-10-23 19:04:41,43.004752291,-78.801547440,585.3
2020-10-23 19:04:43,43.004731585,-78.801549057,584.6
2020-10-23 19:04:45,43.004711225,-78.801553664,584.4
2020-10-23 19:04:47,43.004689819,-78.801549229,584.2
2020-10-23 19:04:49,43.004669909,-78.801548597,584.5
2020-10-23 19:04:51,43.004646483,-78.801542681,584.4
2020-10-23 19:04:53,43.004628135,-78.801540679,584.3
2020-10-23 19:04:56,43.004600682,-78.801535203,585.8
2020-10-23 19:04:58,43.004574274,-78.801534666,585.1
2020-10-23 19:05:01,43.004548478,-78.801536869,583.4
2020-10-23 19:05:03,43.004526972,-78.801548939,584.5
2020-10-23 19:05:06,43.004503460,-78.801556824,583.9
2020-10-23 19:05:08,43.004479128,-78.801563657,582.9
2020-10-23 19:05:10,43.004455645,-78.801565947,585.9
2020-10-23 19:05:12,43.004433674,-78.801561362,585.7
2020-10-23 19:05:14,43.004411841,-78.801555945,584.8
2020-10-23 19:05:16,43.004391503,-78.801553736,584.7
2020-10-23 19:05:18,43.004368331,-78.801547305,587.3
2020-10-23 19:05:21,43.004351284,-78.801534407,585.3
2020-10-23 19:05:23,43.004348181,-78.801495118,585.1
2020-10-23 19:05:25,43.004351955,-78.801460067,585.1
2020-10-23 19:05:27,43.004356830,-78.801432254,584.9
2020-10-23 19:05:29,43.004366936,-78.801403740,585.4
2020-10-23 19:05:31,43.004371605,-78.801373429,584.7
2020-10-23 19:05:33,43.004376675,-78.801347471,584.4
2020-10-23 19:05:35,43.004380080,-78.801315763,583.9
2020-10-23 19:05:37,43.004382482,-78.801285412,584.5
2020-10-23 19:05:39,43.004388048,-78.801253560,585.6
2020-10-23 19:05:41,43.004391410,-78.801220829,585.5
2020-10-23 19:05:43,43.004394142,-78.801188530,585.1
2020-10-23 19:05:45,43.004393482,-78.801160683,586.0
2020-10-23 19:05:47,43.004395447,-78.801122311,585.7
2020-10-23 19:05:49,43.004394849,-78.801087969,585.7
2020-10-23 19:05:51,43.004398658,-78.801053662,585.6
2020-10-23 19:05:53,43.004396239,-78.801020675,585.2
2020-10-23 19:05:55,43.004395328,-78.800985948,584.7
2020-10-23 19:05:57,43.004394253,-78.800954983,583.9
2020-10-23 19:05:59,43.004395428,-78.800919580,585.2
2020-10-23 19:06:01,43.004392637,-78.800887088,584.3
