time,longitude,latitude,altitude (ft)
2020/10/23 19:26:27+00,-78.803222,42.9926,181.199173
2020/10/23 19:26:28+00,-78.803226,42.992595,181.198883
2020/10/23 19:26:28+00,-78.80323,42.992589,181.198593
2020/10/23 19:26:29+00,-78.803239,42.992579,181.198029
2020/10/23 19:26:30+00,-78.803247,42.992568,181.19751
2020/10/23 19:26:31+00,-78.803256,42.992557,181.197083
2020/10/23 19:26:32+00,-78.803264,42.992547,181.196808
2020/10/23 19:26:33+00,-78.803273,42.992536,181.196716
2020/10/23 19:26:34+00,-78.803281,42.992526,181.196793
2020/10/23 19:26:35+00,-78.803289,42.992515,181.197021
2020/10/23 19:26:36+00,-78.803297,42.992505,181.197372
2020/10/23 19:26:37+00,-78.803305,42.992494,181.19783
2020/10/23 19:26:38+00,-78.803314,42.992484,181.198364
2020/10/23 19:26:39+00,-78.803322,42.992474,181.19899
2020/10/23 19:26:40+00,-78.80333,42.992463,181.199707
2020/10/23 19:26:41+00,-78.803338,42.992452,181.200546
2020/10/23 19:26:42+00,-78.803347,42.992442,181.201477
2020/10/23 19:26:43+00,-78.803355,42.992431,181.202438
2020/10/23 19:26:44+00,-78.803363,42.99242,181.2034
2020/10/23 19:26:45+00,-78.803372,42.992409,181.2043
2020/10/23 19:26:46+00,-78.80338,42.992397,181.205048
2020/10/23 19:26:47+00,-78.803389,42.992386,181.205627
2020/10/23 19:26:48+00,-78.803398,42.992374,181.205963
2020/10/23 19:26:49+00,-78.803407,42.992362,181.206055
2020/10/23 19:26:50+00,-78.803416,42.99235,181.205841
2020/10/23 19:26:51+00,-78.803426,42.992338,181.205292
2020/10/23 19:26:52+00,-78.803435,42.992326,181.204437
2020/10/23 19:26:53+00,-78.803445,42.992314,181.203262
2020/10/23 19:26:54+00,-78.803455,42.992302,181.201813
2020/10/23 19:26:55+00,-78.803465,42.99229,181.20015
2020/10/23 19:26:56+00,-78.803476,42.992278,181.19838
2020/10/23 19:26:57+00,-78.803486,42.992266,181.19664
2020/10/23 19:26:58+00,-78.803496,42.992254,181.195053
2020/10/23 19:26:59+00,-78.803506,42.992243,181.19371
2020/10/23 19:27:00+00,-78.803516,42.992231,181.192642
2020/10/23 19:27:01+00,-78.803525,42.99222,181.19191
2020/10/23 19:27:02+00,-78.803534,42.992209,181.191498
2020/10/23 19:27:03+00,-78.803543,42.992198,181.191406
2020/10/23 19:27:04+00,-78.803552,42.992187,181.191635
2020/10/23 19:27:05+00,-78.80356,42.992177,181.192154
2020/10/23 19:27:06+00,-78.803568,42.992166,181.192932
2020/10/23 19:27:07+00,-78.803576,42.992155,181.193909
2020/10/23 19:27:08+00,-78.803583,42.992145,181.195053
2020/10/23 19:27:09+00,-78.80359,42.992134,181.196289
2020/10/23 19:27:10+00,-78.803597,42.992124,181.197571
2020/10/23 19:27:11+00,-78.803604,42.992113,181.198837
2020/10/23 19:27:12+00,-78.803611,42.992102,181.200058
2020/10/23 19:27:13+00,-78.803618,42.992092,181.201187
2020/10/23 19:27:14+00,-78.803625,42.992081,181.202209
2020/10/23 19:27:15+00,-78.803631,42.99207,181.203094
2020/10/23 19:27:16+00,-78.803638,42.992059,181.203812
2020/10/23 19:27:17+00,-78.803644,42.992048,181.204361
2020/10/23 19:27:18+00,-78.803651,42.992037,181.204773
2020/10/23 19:27:19+00,-78.803657,42.992026,181.205048
2020/10/23 19:27:20+00,-78.803664,42.992015,181.2052
2020/10/23 19:27:21+00,-78.803671,42.992004,181.205215
2020/10/23 19:27:22+00,-78.803677,42.991993,181.205048
2020/10/23 19:27:23+00,-78.803684,42.991982,181.204666
2020/10/23 19:27:24+00,-78.803691,42.991971,181.203995
2020/10/23 19:27:25+00,-78.803698,42.991961,181.203049
2020/10/23 19:27:26+00,-78.803705,42.99195,181.201828
2020/10/23 19:27:27+00,-78.803712,42.991939,181.200363
2020/10/23 19:27:28+00,-78.803719,42.991929,181.198685
2020/10/23 19:27:29+00,-78.803726,42.991918,181.196854
2020/10/23 19:27:30+00,-78.803733,42.991908,181.194931
2020/10/23 19:27:31+00,-78.803739,42.991897,181.193008
2020/10/23 19:27:32+00,-78.803745,42.991886,181.191177
2020/10/23 19:27:33+00,-78.803751,42.991875,181.18959
2020/10/23 19:27:34+00,-78.803756,42.991863,181.1884
2020/10/23 19:27:35+00,-78.803761,42.991852,181.187775
2020/10/23 19:27:36+00,-78.803765,42.99184,181.187836
2020/10/23 19:27:37+00,-78.803768,42.991829,181.188614
2020/10/23 19:27:38+00,-78.803771,42.991817,181.190109
2020/10/23 19:27:39+00,-78.803773,42.991805,181.192215
2020/10/23 19:27:40+00,-78.803775,42.991793,181.194809
2020/10/23 19:27:41+00,-78.803777,42.991782,181.197693
2020/10/23 19:27:42+00,-78.803779,42.99177,181.200668
2020/10/23 19:27:43+00,-78.80378,42.991759,181.203522
2020/10/23 19:27:44+00,-78.803782,42.991747,181.206039
2020/10/23 19:27:45+00,-78.803784,42.991737,181.208054
2020/10/23 19:27:46+00,-78.803787,42.991726,181.209396
2020/10/23 19:27:47+00,-78.80379,42.991716,181.209976
2020/10/23 19:27:48+00,-78.803793,42.991706,181.209778
2020/10/23 19:27:49+00,-78.803797,42.991696,181.208817
2020/10/23 19:27:50+00,-78.803802,42.991686,181.207153
2020/10/23 19:27:51+00,-78.803806,42.991677,181.20488
2020/10/23 19:27:52+00,-78.803819,42.991677,181.214127
2020/10/23 19:27:53+00,-78.803833,42.991676,181.216263
2020/10/23 19:27:54+00,-78.803847,42.991676,181.217789
2020/10/23 19:27:55+00,-78.803861,42.991676,181.218582
2020/10/23 19:27:56+00,-78.803876,42.991677,181.218506
2020/10/23 19:27:57+00,-78.803892,42.991678,181.217514
2020/10/23 19:27:58+00,-78.803907,42.99168,181.21553
2020/10/23 19:27:59+00,-78.803923,42.991682,181.21257
2020/10/23 19:28:00+00,-78.803939,42.991684,181.208679
2020/10/23 19:28:01+00,-78.803955,42.991687,181.203979
2020/10/23 19:28:02+00,-78.803971,42.99169,181.198639
2020/10/23 19:28:03+00,-78.803986,42.991693,181.192886
