time,latitude,longitude,altitude (ft)
2020-10-23 21:13:26,43.005343238,-78.801646923,584.7
2020-10-23 21:13:28,43.005344291,-78.801629794,584.9
2020-10-23 21:13:29,43.005373451,-78.801616095,584.9
2020-10-23 21:13:30,43.005399746,-78.801594590,585.0
2020-10-23 21:13:31,43.005416698,-78.801584258,585.1
2020-10-23 21:13:33,43.005388906,-78.801576429,585.2
2020-10-23 21:13:34,43.005375633,-78.801572533,585.3
2020-10-23 21:13:36,43.005356900,-78.801580394,585.4
2020-10-23 21:13:39,43.005348054,-78.801605911,585.6
2020-10-23 21:13:43,43.005309940,-78.801603924,585.8
2020-10-23 21:13:45,43.005275944,-78.801625646,585.9
2020-10-23 21:13:47,43.005255951,-78.801613322,585.9
2020-10-23 21:13:48,43.005238934,-78.801629778,586.1
2020-10-23 21:13:50,43.005223721,-78.801613205,586.2
2020-10-23 21:13:51,43.005213210,-78.801609862,586.2
2020-10-23 21:13:53,43.005197263,-78.801597870,586.5
2020-10-23 21:13:55,43.005181453,-78.801581510,586.6
2020-10-23 21:13:57,43.005161992,-78.801602701,587.0
2020-10-23 21:14:01,43.005136009,-78.801612139,586.3
2020-10-23 21:14:02,43.005115988,-78.801606352,586.8
2020-10-23 21:14:04,43.005093553,-78.801609978,585.6
2020-10-23 21:14:06,43.005071453,-78.801607608,585.1
2020-10-23 21:14:08,43.005040039,-78.801617996,587.3
2020-10-23 21:14:11,43.005023734,-78.801607475,585.6
2020-10-23 21:14:13,43.005005236,-78.801622635,585.7
2020-10-23 21:14:15,43.004983441,-78.801605336,586.8
2020-10-23 21:14:18,43.004957489,-78.801602505,585.4
2020-10-23 21:14:20,43.004927979,-78.801603607,585.1
2020-10-23 21:14:22,43.004899006,-78.801598643,586.1
2020-10-23 21:14:24,43.004884740,-78.801576569,586.6
2020-10-23 21:14:26,43.004860210,-78.801592638,585.1
2020-10-23 21:14:28,43.004834076,-78.801587118,585.4
2020-10-23 21:14:30,43.004812226,-78.801580198,585.5
2020-10-23 21:14:32,43.004792138,-78.801586388,587.0
2020-10-23 21:14:34,43.004763746,-78.801586517,585.0
2020-10-23 21:14:36,43.004737654,-78.801577721,585.2
2020-10-23 21:14:39,43.004717466,-78.801594748,586.8
2020-10-23 21:14:41,43.004699984,-78.801585487,586.7
2020-10-23 21:14:43,43.004670108,-78.801590524,585.1
2020-10-23 21:14:45,43.004646080,-78.801596646,585.4
2020-10-23 21:14:47,43.004619862,-78.801588362,584.7
2020-10-23 21:14:50,43.004591837,-78.801594962,585.4
2020-10-23 21:14:52,43.004557621,-78.801595225,586.2
2020-10-23 21:14:54,43.004536751,-78.801589546,584.8
2020-10-23 21:14:56,43.004517387,-78.801599779,585.9
2020-10-23 21:14:58,43.004487836,-78.801615016,586.6
2020-10-23 21:15:00,43.004469483,-78.801605390,585.0
2020-10-23 21:15:02,43.004450103,-78.801592857,584.0
2020-10-23 21:15:04,43.004425213,-78.801595474,586.5
2020-10-23 21:15:06,43.004399607,-78.801593647,584.8
2020-10-23 21:15:09,43.004385834,-78.801621067,584.7
2020-10-23 21:15:11,43.004394557,-78.801642775,584.0
2020-10-23 21:15:12,43.004393850,-78.801667775,584.2
2020-10-23 21:15:14,43.004385415,-78.801693593,585.9
2020-10-23 21:15:16,43.004380940,-78.801726704,585.1
2020-10-23 21:15:18,43.004380060,-78.801755684,584.8
2020-10-23 21:15:20,43.004373182,-78.801783409,583.9
2020-10-23 21:15:22,43.004372187,-78.801819516,584.5
2020-10-23 21:15:25,43.004380594,-78.801854685,584.8
2020-10-23 21:15:27,43.004376026,-78.801886798,584.6
2020-10-23 21:15:29,43.004366848,-78.801913026,583.8
2020-10-23 21:15:31,43.004367079,-78.801957740,584.4
2020-10-23 21:15:34,43.004367028,-78.801997582,584.8
2020-10-23 21:15:36,43.004363325,-78.802029216,585.7
2020-10-23 21:15:38,43.004367454,-78.802053772,585.8
2020-10-23 21:15:40,43.004365716,-78.802087634,585.0
2020-10-23 21:15:42,43.004363268,-78.802119151,583.8
2020-10-23 21:15:43,43.004364584,-78.802144699,586.4
2020-10-23 21:15:45,43.004372847,-78.802182194,585.4
2020-10-23 21:15:47,43.004359181,-78.802216369,583.2
2020-10-23 21:15:49,43.004356945,-78.802256678,583.5
2020-10-23 21:15:51,43.004353332,-78.802290118,584.3
2020-10-23 21:15:53,43.004353756,-78.802331395,583.1
2020-10-23 21:15:55,43.004359369,-78.802362224,584.3
2020-10-23 21:15:56,43.004357262,-78.802387826,585.7
2020-10-23 21:15:58,43.004349079,-78.802426920,584.0
2020-10-23 21:16:00,43.004350973,-78.802455835,585.4
2020-10-23 21:16:02,43.004357249,-78.802500396,587.3
2020-10-23 21:16:05,43.004363178,-78.802532104,585.3
2020-10-23 21:16:07,43.004362976,-78.802559336,586.1
2020-10-23 21:16:10,43.004366866,-78.802586264,586.4
2020-10-23 21:16:14,43.004353417,-78.802614031,588.7
2020-10-23 21:16:16,43.004355059,-78.802640899,588.8
2020-10-23 21:16:18,43.004350714,-78.802673125,587.8
2020-10-23 21:16:20,43.004347777,-78.802703930,588.3
2020-10-23 21:16:21,43.004348495,-78.802730204,587.0
2020-10-23 21:16:23,43.004339008,-78.802774563,588.4
2020-10-23 21:16:24,43.004340004,-78.802801355,586.7
2020-10-23 21:16:25,43.004343764,-78.802828040,587.6
2020-10-23 21:16:27,43.004341191,-78.802875218,587.9
2020-10-23 21:16:28,43.004344337,-78.802909219,587.7
2020-10-23 21:16:30,43.004342298,-78.802944311,587.3
2020-10-23 21:16:32,43.004345222,-78.802998252,586.7
2020-10-23 21:16:34,43.004351996,-78.803037636,586.1
2020-10-23 21:16:36,43.004358196,-78.803071545,583.6
2020-10-23 21:16:38,43.004370111,-78.803091157,585.2
2020-10-23 21:16:40,43.004383288,-78.803129547,584.0
2020-10-23 21:16:42,43.004384207,-78.803161524,581.6
2020-10-23 21:16:45,43.004394095,-78.803192421,580.5
2020-10-23 21:16:46,43.004396043,-78.803219918,581.6
2020-10-23 21:16:48,43.004401401,-78.803257228,582.5
2020-10-23 21:16:50,43.004405623,-78.803286913,582.3
2020-10-23 21:16:53,43.004412875,-78.803326728,581.1
2020-10-23 21:16:54,43.004418182,-78.803350358,580.0
2020-10-23 21:16:56,43.004422856,-78.803380779,579.8
2020-10-23 21:16:59,43.004424939,-78.803423738,578.1
2020-10-23 21:17:01,43.004433317,-78.803460764,576.1
2020-10-23 21:17:04,43.004437013,-78.803488865,577.5
2020-10-23 21:17:06,43.004437889,-78.803518981,576.6
2020-10-23 21:17:08,43.004445182,-78.803548695,578.3
2020-10-23 21:17:12,43.004454833,-78.803571303,576.9
2020-10-23 21:17:15,43.004465947,-78.803607362,577.4
2020-10-23 21:17:17,43.004473833,-78.803640959,579.4
2020-10-23 21:17:20,43.004476148,-78.803673028,578.2
2020-10-23 21:17:23,43.004485788,-78.803700434,577.4
2020-10-23 21:17:25,43.004490859,-78.803725110,578.2
2020-10-23 21:17:27,43.004491557,-78.803754133,579.2
2020-10-23 21:17:28,43.004494470,-78.803786756,577.3
2020-10-23 21:17:30,43.004513428,-78.803814046,577.8
2020-10-23 21:17:32,43.004539990,-78.803856471,579.5
2020-10-23 21:17:33,43.004554788,-78.803875096,579.2
2020-10-23 21:17:34,43.004568676,-78.803894962,580.0
2020-10-23 21:17:35,43.004584951,-78.803906286,578.7
2020-10-23 21:17:36,43.004586899,-78.803932576,580.6
2020-10-23 21:17:38,43.004579180,-78.803956437,582.5
2020-10-23 21:17:40,43.004582551,-78.803987363,581.8
2020-10-23 21:17:41,43.004594652,-78.804007697,582.6
2020-10-23 21:17:47,43.004606580,-78.804039552,582.7
2020-10-23 21:17:50,43.004615299,-78.804063426,583.0
2020-10-23 21:17:52,43.004618896,-78.804089211,582.7
2020-10-23 21:17:53,43.004624110,-78.804114307,582.8
2020-10-23 21:17:54,43.004626646,-78.804143530,583.6
2020-10-23 21:17:56,43.004634011,-78.804187090,582.5
2020-10-23 21:17:58,43.004633823,-78.804225299,583.2
2020-10-23 21:18:00,43.004643931,-78.804272132,582.7
2020-10-23 21:18:01,43.004650745,-78.804295825,581.3
2020-10-23 21:18:02,43.004656366,-78.804320469,582.0
2020-10-23 21:18:04,43.004658585,-78.804362395,580.3
2020-10-23 21:18:06,43.004653658,-78.804397965,578.8
2020-10-23 21:18:08,43.004662331,-78.804440417,579.5
2020-10-23 21:18:09,43.004666695,-78.804465384,578.5
2020-10-23 21:18:11,43.004668491,-78.804496792,578.3
2020-10-23 21:18:13,43.004658682,-78.804525592,577.9
2020-10-23 21:18:15,43.004665748,-78.804579060,577.1
2020-10-23 21:18:17,43.004670245,-78.804614525,576.1
2020-10-23 21:18:19,43.004667795,-78.804644737,577.8
2020-10-23 21:18:21,43.004673110,-78.804681085,576.9
2020-10-23 21:18:22,43.004678498,-78.804705372,577.7
2020-10-23 21:18:24,43.004684285,-78.804739344,577.7
2020-10-23 21:18:26,43.004686821,-78.804766075,578.5
2020-10-23 21:18:28,43.004687975,-78.804802955,577.1
2020-10-23 21:18:30,43.004691495,-78.804833489,578.1
2020-10-23 21:18:32,43.004689783,-78.804871514,577.0
2020-10-23 21:18:33,43.004703576,-78.804888325,576.0
2020-10-23 21:18:35,43.004698027,-78.804919265,577.0
2020-10-23 21:18:37,43.004702590,-78.804961660,576.1
2020-10-23 21:18:39,43.004705898,-78.804989166,574.8
2020-10-23 21:18:41,43.004705078,-78.805019445,574.3
2020-10-23 21:18:43,43.004704679,-78.805060543,576.0
2020-10-23 21:18:45,43.004701091,-78.805100702,576.2
2020-10-23 21:18:50,43.004728938,-78.805112295,574.3
2020-10-23 21:18:51,43.004747871,-78.805103689,575.0
2020-10-23 21:18:55,43.004715173,-78.805101360,575.1
2020-10-23 21:18:57,43.004694896,-78.805100744,574.5
2020-10-23 21:18:59,43.004729411,-78.805099706,575.1
2020-10-23 21:19:01,43.004752712,-78.805106598,576.3
2020-10-23 21:19:02,43.004720575,-78.805091227,574.1
2020-10-23 21:19:03,43.004701110,-78.805087567,574.8
2020-10-23 21:19:05,43.004670031,-78.805115399,575.0
2020-10-23 21:19:06,43.004665416,-78.805145026,573.4
2020-10-23 21:19:08,43.004672289,-78.805190631,574.0
2020-10-23 21:19:10,43.004669723,-78.805230384,574.5
2020-10-23 21:19:12,43.004680976,-78.805264988,574.6
2020-10-23 21:19:14,43.004681850,-78.805302581,577.4
2020-10-23 21:19:16,43.004679862,-78.805338765,578.7
2020-10-23 21:19:18,43.004673289,-78.805372666,577.8
2020-10-23 21:19:20,43.004670630,-78.805405050,576.6
2020-10-23 21:19:23,43.004688203,-78.805427337,576.6
2020-10-23 21:19:25,43.004702293,-78.805448781,576.8
2020-10-23 21:19:27,43.004717824,-78.805472783,574.5
2020-10-23 21:19:29,43.004717250,-78.805497414,574.4
2020-10-23 21:19:31,43.004716164,-78.805526908,576.1
2020-10-23 21:19:33,43.004720881,-78.805562722,576.5
2020-10-23 21:19:35,43.004720767,-78.805590191,575.9
2020-10-23 21:19:38,43.004717423,-78.805626125,574.8
2020-10-23 21:19:40,43.004719063,-78.805655608,575.9
2020-10-23 21:19:42,43.004719171,-78.805682612,574.5
2020-10-23 21:19:44,43.004725454,-78.805713534,574.8
2020-10-23 21:19:46,43.004721236,-78.805748618,574.4
2020-10-23 21:19:48,43.004721629,-78.805781495,573.5
2020-10-23 21:19:50,43.004725206,-78.805809189,573.3
2020-10-23 21:19:53,43.004731586,-78.805848292,574.3
